date,name,ticker,price,change,change_pct
2026-08-05,코스피,^KS11,6598.26,239.31,3.76
2026-08-05,원달러,KRW=X,1426.46,-2.04,-0.14
2026-08-05,삼성전자,005930.KS,246000.0,6000.0,2.5
2026-08-05,SK하이닉스,000660.KS,1668000.0,91000.0,5.77
2026-08-06,코스피,^KS11,6296.38,-301.88,-4.58
2026-08-06,원달러,KRW=X,1424.73,-3.7,-0.26
2026-08-06,삼성전자,005930.KS,230500.0,-15500.0,-6.3
2026-08-06,SK하이닉스,000660.KS,1495000.0,-173000.0,-10.37
2026-08-08,코스피,^KS11,nan,nan,nan
2026-08-08,원달러,KRW=X,1407.45,-13.71,-0.96
2026-08-08,삼성전자,005930.KS,231000.0,500.0,0.22
2026-08-08,SK하이닉스,000660.KS,1422000.0,-73000.0,-4.88
